Year,Refugee,Special Humanitarian Program,Special Assistance Category,Onshore,Total,year_only
2002-07-01,3.9960000000000004,7.212000000000001,0.0,911.0,12.119000000000002,2002
2003-07-01,3.8510000000000004,8.912,0.0,784.0,13.547,2003
2004-07-01,5.289,6.684,0.0,952.0,12.925,2004
2005-07-01,5.699,6.739,0.0,1.247,13.685,2005
2006-07-01,5.9239999999999995,5.157,0.0,1.7069999999999999,12.788,2006
2007-07-01,5.9510000000000005,4.721,0.0,1.932,12.604000000000001,2007
2008-07-01,6.446000000000001,4.471,0.0,2.495,13.412,2008
2009-07-01,5.9879999999999995,3.234,0.0,4.535,13.757,2009
2010-07-01,5.997999999999999,2.9730000000000003,0.0,4.828,13.799000000000001,2010
2011-07-01,6.004,714.0,0.0,7.041,13.759,2011
2012-07-01,12.012,503.0,0.0,7.504,20.019000000000002,2012
2013-07-01,6.501,4.515,0.0,2.752,13.767999999999999,2013
2014-07-01,6.002000000000001,5.007,0.0,2.747,13.755999999999998,2014
2015-07-01,8.283999999999999,7.268,0.0,2.003,17.555,2015
2016-07-01,9.652999999999999,10.604000000000001,0.0,1.7109999999999999,21.968000000000004,2016
2017-07-01,7.909,6.916,0.0,1.425,16.25,2017
2018-07-01,9.451,7.6610000000000005,0.0,1.65,18.762,2018
