financial_year,Central Asia,North Africa & the Middle East,North East Asia,North-West Europe,Northern America,Oceania,"South America, Central America & the Caribbean",South East Asia,Southern Asia,Southern and Eastern Europe,Sub-Saharan Africa,year_only,t,total_immigrants
2002-07-01,1099.0,11440.0,17084.0,22324.0,3670.0,16775.0,1955.0,21037.0,12910.0,6669.0,10907.0,2002,1,125870.0
2003-07-01,1410.0,12203.0,21171.0,29428.0,4012.0,19131.0,2166.0,22881.0,16662.0,5846.0,13521.0,2003,2,148431.0
2004-07-01,1697.0,13797.0,25342.0,30142.0,4128.0,22263.0,2392.0,23685.0,19692.0,5561.0,14102.0,2004,3,162801.0
2005-07-01,2767.0,12057.0,27540.0,35764.0,4410.0,23963.0,2677.0,24463.0,22506.0,5656.0,12979.0,2005,4,174782.0
2006-07-01,2460.0,10845.0,31584.0,36063.0,4201.0,28392.0,2585.0,26192.0,28476.0,5502.0,14564.0,2006,5,190864.0
2007-07-01,1980.0,9828.0,31172.0,37608.0,4332.0,33308.0,3046.0,28050.0,33002.0,5772.0,15140.0,2007,6,203238.0
2008-07-01,1883.0,12558.0,32609.0,39818.0,4619.0,32515.0,3362.0,29994.0,36024.0,6190.0,19975.0,2008,7,219547.0
2009-07-01,1770.0,9936.0,33166.0,33508.0,4802.0,24685.0,4086.0,30196.0,34761.0,6079.0,20658.0,2009,8,203647.0
2010-07-01,2095.0,11137.0,37147.0,28565.0,4471.0,34060.0,3479.0,30907.0,33828.0,5813.0,16353.0,2010,9,207855.0
2011-07-01,1697.0,11239.0,34705.0,36520.0,4963.0,42925.0,4121.0,34324.0,43190.0,6808.0,16879.0,2011,10,237371.0
2012-07-01,2119.0,12558.0,38053.0,32965.0,5525.0,41694.0,4532.0,34150.0,53429.0,7785.0,13644.0,2012,11,246454.0
2013-07-01,4548.0,14730.0,35359.0,33543.0,5494.0,29304.0,4438.0,31420.0,56307.0,7891.0,12954.0,2013,12,235988.0
2014-07-01,3109.0,16257.0,35787.0,31675.0,5058.0,24610.0,4085.0,31720.0,52814.0,7812.0,12654.0,2014,13,225581.0
2015-07-01,2963.0,14429.0,37080.0,27323.0,4977.0,22845.0,4207.0,32129.0,55328.0,7400.0,11419.0,2015,14,220100.0
2016-07-01,3255.0,28133.0,37235.0,25177.0,4931.0,16449.0,4788.0,31488.0,54980.0,7590.0,11797.0,2016,15,225823.0
